trial_index,filename,original_emotion,perceived_emotion_majority,perceived_emotion_total_responses,perceived_prop_Positive,perceived_count_Positive,perceived_prop_Neutral,perceived_count_Neutral,perceived_prop_Negative,perceived_count_Negative,viewing_mean_fixation_count,viewing_mean_dwell_time_s,viewing_mean_mean_fixation_duration_ms,viewing_mean_fixation_density_per_megapixel,aoi_mean_face_area_normalized_density,aoi_mean_text_area_normalized_density,aoi_mean_face_dwell_proportion,aoi_mean_text_dwell_proportion,aoi_mean_face_fixation_proportion,aoi_mean_text_fixation_proportion,aoi_mean_face_ttff_ms,aoi_mean_text_ttff_ms,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,n_fixations_for_auc_nss,efficientnet_true_label,efficientnet_predicted_label,efficientnet_predicted_probability,intended_matches_perceived_majority,intended_matches_efficientnet,deepgaze_nss_agreement_level,deepgaze_auc_agreement_level,semantic_attention_emphasis
37,760_orig_859.jpg,Negative,Neutral,35,0.37142857142857144,13,0.4857142857142857,17,0.14285714285714285,5,46.22857142857143,7.345150514288856,159.04837502566667,31.70683911424652,,1.1253762449222284,0.0,0.10083271889646345,0.0,0.10234517365943951,,2476.198399994525,0.4171425851007407,0.4688053689540786,1.0564064029679323,0.6254272041352602,0.1528803156738856,1618,Negative,Negative,0.4432462751865387,False,True,weak,moderate,text_more_than_face
38,246_orig_245.jpg,Neutral,Neutral,34,0.38235294117647056,13,0.6176470588235294,21,0.0,0,44.6764705882353,7.432508088215447,166.62979865002407,30.64229807149197,0.06019695112087387,,0.0018803801508739647,0.0,0.0019263024358679617,0.0,6973.508333273155,,0.7033147703258867,0.5560208961050288,0.853485840223178,0.5976782020375792,-0.0879264966925979,1519,Neutral,Positive,0.3589473366737366,True,False,poor_or_inverse,weak,face_more_than_text
39,432_orig_531.jpg,Negative,Neutral,33,0.21212121212121213,7,0.6666666666666666,22,0.12121212121212122,4,46.36363636363637,7.523757969657681,161.97793792787152,71.54882154882154,1.5561858390540966,,0.009839059607604452,0.0,0.01123191538465433,0.0,4487.253599979476,,0.6217813759275052,0.6015066678579158,0.5073812642988187,0.7126907260555403,0.2966265138145734,1530,Negative,Positive,0.372140496969223,False,False,weak,strong,face_more_than_text
40,779_orig_878.jpg,Neutral,Positive,34,0.5294117647058824,18,0.4117647058823529,14,0.058823529411764705,2,45.794117647058826,7.522466941166766,164.4025064681848,31.408859840232388,,0.0,0.0,0.0,0.0,0.0,,,0.5972685525232727,0.6041181151760059,0.5625023694254463,0.4746064113143222,-0.2325406365529584,1557,Neutral,Negative,0.4276533722877502,False,False,poor_or_inverse,chance_or_worse,equal_face_text
41,5_orig_4.jpg,Positive,Neutral,34,0.4117647058823529,14,0.5294117647058824,18,0.058823529411764705,2,44.5,7.567893529390744,170.20032621040085,38.15157750342935,2.590884318558577,0.1372323122797506,0.3174762345526826,0.0018500287452551647,0.325835245031755,0.0012254901960784294,992.3353970640392,3062.355499999967,0.6563539632723142,0.5252410409444543,0.7754437005923784,0.7304697061840303,0.1748051144226786,1513,Positive,Negative,0.3921072781085968,False,False,weak,strong,face_more_than_text
42,420_orig_519.jpg,Neutral,Positive,34,0.7647058823529411,26,0.20588235294117646,7,0.029411764705882353,1,45.76470588235294,7.494152867658593,163.91972424264563,31.41195527712774,,,0.0,0.0,0.0,0.0,,,0.6714577197967421,0.6173012973069493,0.5110983928172792,0.7820662181575518,0.3765792629495079,1556,Neutral,Positive,0.3637415468692779,False,False,weak,strong,equal_face_text
43,850_orig_949.jpg,Neutral,Positive,33,0.5454545454545454,18,0.3939393939393939,13,0.06060606060606061,2,46.484848484848484,7.788466424160133,168.00471897405373,31.882612129525707,,,0.0,0.0,0.0,0.0,,,0.6525018190340083,0.6156386921892866,0.4493576284115715,0.7732812433452834,0.5739037889865917,1534,Neutral,Negative,0.370438277721405,False,False,weak,strong,equal_face_text
44,1120_orig_1356.jpg,Positive,Neutral,34,0.23529411764705882,8,0.6176470588235294,21,0.14705882352941177,5,46.529411764705884,7.334242235234569,158.2510590971603,60.729403902896834,0.3140476306633933,0.8179893424530631,0.0028802379950966205,0.10526328753464076,0.0032537042301064144,0.10772879155732666,4048.918999999296,2381.6368269128293,0.6912774889297112,0.5971283762449142,0.6842077838177367,0.5580265194386582,-0.0212770244083767,1582,Positive,Neutral,0.4085973501205444,False,False,poor_or_inverse,weak,text_more_than_face
45,264_orig_263.jpg,Negative,Neutral,33,0.36363636363636365,12,0.48484848484848486,16,0.15151515151515152,5,45.63636363636363,7.388602590989064,161.89004669975105,31.300660930290565,,1.1035861675427052,0.0,0.14349073823703434,0.0,0.14586184665042315,,3154.7776718697805,0.4989543730458302,0.520118835620191,0.7815768432002046,0.7521288919621576,0.4038062776979605,1506,Negative,Positive,0.4476231336593628,False,False,weak,strong,text_more_than_face
46,87_orig_86.jpg,Negative,Neutral,34,0.35294117647058826,12,0.5294117647058824,18,0.11764705882352941,4,45.76470588235294,7.194416367649811,157.90350652873914,39.23585895263455,,,0.0,0.0,0.0,0.0,,,0.8132355728468847,0.6325421493157515,0.5617621027553149,0.7305052930577679,1.2911550527796578,1556,Negative,Negative,0.3795309960842132,False,True,moderate,strong,equal_face_text
47,1155_orig_1391.jpg,Positive,Neutral,34,0.14705882352941177,5,0.6764705882352942,23,0.17647058823529413,6,47.35294117647059,7.357136117632937,156.34039628170964,40.59751472605503,,1.0855144579566385,0.0,0.06226626807664427,0.0,0.06237985518511448,,2406.5851599965754,0.4727603289041017,0.5802418359986876,0.596602661892358,0.6279215590361055,0.3367528761521448,1610,Positive,Negative,0.3724451065063476,False,False,weak,moderate,text_more_than_face
