participant,filename,response_value,response_emotion_raw,response_emotion,is_no_response,trial_index
U11,324_orig_423.jpg,,NO RESPONDE,,True,21
U11,33_orig_32.jpg,,NO RESPONDE,,True,22
U11,873_orig_972.jpg,,NO RESPONDE,,True,23
U11,1322_orig_1659.jpg,,NO RESPONDE,,True,24
U11,130_orig_129.jpg,,NO RESPONDE,,True,25
U11,184_orig_183.jpg,,NO RESPONDE,,True,26
U11,105_orig_104.jpg,,NO RESPONDE,,True,27
U11,262_orig_261.jpg,,NO RESPONDE,,True,28
U11,198_orig_197.jpg,,NO RESPONDE,,True,29
U11,82_orig_81.jpg,,NO RESPONDE,,True,31
U11,292_orig_291.jpg,,NO RESPONDE,,True,32
U11,916_orig_1094.jpg,,NO RESPONDE,,True,33
U11,251_orig_250.jpg,,NO RESPONDE,,True,34
U11,573_orig_672.jpg,,NO RESPONDE,,True,35
U11,58_orig_57.jpg,,NO RESPONDE,,True,36
U11,760_orig_859.jpg,,NO RESPONDE,,True,37
U11,246_orig_245.jpg,,NO RESPONDE,,True,38
U11,432_orig_531.jpg,,NO RESPONDE,,True,39
U11,779_orig_878.jpg,,NO RESPONDE,,True,40
U11,5_orig_4.jpg,,NO RESPONDE,,True,41
U11,420_orig_519.jpg,,NO RESPONDE,,True,42
U11,850_orig_949.jpg,,NO RESPONDE,,True,43
U11,1120_orig_1356.jpg,,NO RESPONDE,,True,44
U11,264_orig_263.jpg,,NO RESPONDE,,True,45
U11,87_orig_86.jpg,,NO RESPONDE,,True,46
U11,1155_orig_1391.jpg,,NO RESPONDE,,True,47
U11,704_orig_803.jpg,,NO RESPONDE,,True,48
U11,726_orig_825.jpg,,NO RESPONDE,,True,49
U11,250_orig_249.jpg,,NO RESPONDE,,True,50
U11,153_orig_152.jpg,,NO RESPONDE,,True,51
U11,831_orig_930.jpg,,NO RESPONDE,,True,52
U11,26_orig_25.jpg,,NO RESPONDE,,True,53
U11,71_orig_70.jpg,,NO RESPONDE,,True,54
U11,76_orig_75.jpg,,NO RESPONDE,,True,55
U11,78_orig_77.jpg,,NO RESPONDE,,True,56
U11,423_orig_522.jpg,,NO RESPONDE,,True,57
U11,10_orig_9.jpg,,NO RESPONDE,,True,58
U11,205_orig_204.jpg,,NO RESPONDE,,True,59
U11,1054_orig_1290.jpg,,NO RESPONDE,,True,60
U12,640_orig_739.jpg,,NO RESPONDE,,True,16
U12,264_orig_263.jpg,,NO RESPONDE,,True,45
U14,262_orig_261.jpg,,NO RESPONDE,,True,28
U15,51_orig_50.jpg,,NO RESPONDE,,True,4
U15,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U15,272_orig_271.jpg,,NO RESPONDE,,True,11
U15,796_orig_895.jpg,,NO RESPONDE,,True,12
U15,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U15,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U15,722_orig_821.jpg,,NO RESPONDE,,True,19
U15,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U15,324_orig_423.jpg,,NO RESPONDE,,True,21
U15,873_orig_972.jpg,,NO RESPONDE,,True,23
U15,130_orig_129.jpg,,NO RESPONDE,,True,25
U15,82_orig_81.jpg,,NO RESPONDE,,True,31
U15,292_orig_291.jpg,,NO RESPONDE,,True,32
U15,573_orig_672.jpg,,NO RESPONDE,,True,35
U15,760_orig_859.jpg,,NO RESPONDE,,True,37
U15,246_orig_245.jpg,,NO RESPONDE,,True,38
U15,420_orig_519.jpg,,NO RESPONDE,,True,42
U15,1120_orig_1356.jpg,,NO RESPONDE,,True,44
U15,153_orig_152.jpg,,NO RESPONDE,,True,51
U15,1054_orig_1290.jpg,,NO RESPONDE,,True,60
U16,906_orig_1037.jpg,,NO RESPONDE,,True,1
U16,1420_orig_1915.jpg,,NO RESPONDE,,True,2
U16,51_orig_50.jpg,,NO RESPONDE,,True,4
U16,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U16,811_orig_910.jpg,,NO RESPONDE,,True,7
U16,859_orig_958.jpg,,NO RESPONDE,,True,8
U16,91_orig_90.jpg,,NO RESPONDE,,True,10
U16,272_orig_271.jpg,,NO RESPONDE,,True,11
U16,796_orig_895.jpg,,NO RESPONDE,,True,12
U16,41_orig_40.jpg,,NO RESPONDE,,True,13
U16,336_orig_435.jpg,,NO RESPONDE,,True,14
U16,640_orig_739.jpg,,NO RESPONDE,,True,16
U16,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U16,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U16,722_orig_821.jpg,,NO RESPONDE,,True,19
U16,324_orig_423.jpg,,NO RESPONDE,,True,21
U16,873_orig_972.jpg,,NO RESPONDE,,True,23
U16,1322_orig_1659.jpg,,NO RESPONDE,,True,24
U16,130_orig_129.jpg,,NO RESPONDE,,True,25
U16,184_orig_183.jpg,,NO RESPONDE,,True,26
U16,105_orig_104.jpg,,NO RESPONDE,,True,27
U16,82_orig_81.jpg,,NO RESPONDE,,True,31
U16,916_orig_1094.jpg,,NO RESPONDE,,True,33
U16,251_orig_250.jpg,,NO RESPONDE,,True,34
U16,573_orig_672.jpg,,NO RESPONDE,,True,35
U16,58_orig_57.jpg,,NO RESPONDE,,True,36
U16,246_orig_245.jpg,,NO RESPONDE,,True,38
U16,432_orig_531.jpg,,NO RESPONDE,,True,39
U16,779_orig_878.jpg,,NO RESPONDE,,True,40
U16,5_orig_4.jpg,,NO RESPONDE,,True,41
U16,420_orig_519.jpg,,NO RESPONDE,,True,42
U16,850_orig_949.jpg,,NO RESPONDE,,True,43
U16,264_orig_263.jpg,,NO RESPONDE,,True,45
U16,87_orig_86.jpg,,NO RESPONDE,,True,46
U16,1155_orig_1391.jpg,,NO RESPONDE,,True,47
U16,704_orig_803.jpg,,NO RESPONDE,,True,48
U16,726_orig_825.jpg,,NO RESPONDE,,True,49
U16,250_orig_249.jpg,,NO RESPONDE,,True,50
U16,153_orig_152.jpg,,NO RESPONDE,,True,51
U16,831_orig_930.jpg,,NO RESPONDE,,True,52
U16,26_orig_25.jpg,,NO RESPONDE,,True,53
U16,78_orig_77.jpg,,NO RESPONDE,,True,56
U16,423_orig_522.jpg,,NO RESPONDE,,True,57
U16,205_orig_204.jpg,,NO RESPONDE,,True,59
U16,1054_orig_1290.jpg,,NO RESPONDE,,True,60
U19,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U20,906_orig_1037.jpg,,NO RESPONDE,,True,1
U20,1420_orig_1915.jpg,,NO RESPONDE,,True,2
U20,790_orig_889.jpg,,NO RESPONDE,,True,3
U20,51_orig_50.jpg,,NO RESPONDE,,True,4
U20,77_orig_76.jpg,,NO RESPONDE,,True,5
U20,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U20,811_orig_910.jpg,,NO RESPONDE,,True,7
U20,859_orig_958.jpg,,NO RESPONDE,,True,8
U20,584_orig_683.jpg,,NO RESPONDE,,True,9
U20,91_orig_90.jpg,,NO RESPONDE,,True,10
U20,272_orig_271.jpg,,NO RESPONDE,,True,11
U20,796_orig_895.jpg,,NO RESPONDE,,True,12
U20,41_orig_40.jpg,,NO RESPONDE,,True,13
U20,336_orig_435.jpg,,NO RESPONDE,,True,14
U20,361_orig_460.jpg,,NO RESPONDE,,True,15
U20,640_orig_739.jpg,,NO RESPONDE,,True,16
U20,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U20,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U20,722_orig_821.jpg,,NO RESPONDE,,True,19
U20,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U20,324_orig_423.jpg,,NO RESPONDE,,True,21
U20,33_orig_32.jpg,,NO RESPONDE,,True,22
U20,873_orig_972.jpg,,NO RESPONDE,,True,23
U20,1322_orig_1659.jpg,,NO RESPONDE,,True,24
U20,130_orig_129.jpg,,NO RESPONDE,,True,25
U20,184_orig_183.jpg,,NO RESPONDE,,True,26
U20,105_orig_104.jpg,,NO RESPONDE,,True,27
U20,262_orig_261.jpg,,NO RESPONDE,,True,28
U20,198_orig_197.jpg,,NO RESPONDE,,True,29
U20,746_orig_845.jpg,,NO RESPONDE,,True,30
U20,82_orig_81.jpg,,NO RESPONDE,,True,31
