trial_index,filename,original_emotion,n_fixations_for_auc_nss,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,prediction_path,empirical_heatmap_path
31,82_orig_81.jpg,Positivo,1656,0.7598105348049378,0.6367233602278193,0.5642494018172126,0.7985172909558579,1.2451177233548056,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\31_82_orig_81_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\82_orig_81.npy
32,292_orig_291.jpg,Negativo,1572,0.778570479321063,0.6512772850847558,0.5320776163114715,0.861026949504274,1.7412147556484179,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\32_292_orig_291_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\292_orig_291.npy
33,916_orig_1094.jpg,Negativo,1525,0.5074475668035021,0.5056362669988034,0.8189943727856865,0.7330816868371003,0.7106638563392531,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\33_916_orig_1094_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\916_orig_1094.npy
34,251_orig_250.jpg,Negativo,1443,0.6671128019807238,0.5520745452861328,0.8031353626382397,0.8688706349813015,1.209216229134009,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\34_251_orig_250_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\251_orig_250.npy
35,573_orig_672.jpg,Neutral,1587,0.8342555118400258,0.6439179573413261,0.5402598871793025,0.8708493059937114,1.9138013171885484,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\35_573_orig_672_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\573_orig_672.npy
36,58_orig_57.jpg,Positivo,1613,0.5376707839433549,0.5390848282313037,0.6860330544230071,0.7774078012565039,0.8045669112173381,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\36_58_orig_57_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\58_orig_57.npy
37,760_orig_859.jpg,Negativo,1618,0.41714258510074076,0.46880536895407865,1.0564064029679325,0.6254272041352602,0.15288031567388563,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\37_760_orig_859_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\760_orig_859.npy
38,246_orig_245.jpg,Neutral,1519,0.7033147703258867,0.5560208961050288,0.853485840223178,0.5976782020375792,-0.08792649669259794,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\38_246_orig_245_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\246_orig_245.npy
39,432_orig_531.jpg,Negativo,1530,0.6217813759275052,0.6015066678579158,0.5073812642988187,0.7126907260555403,0.29662651381457344,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\39_432_orig_531_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\432_orig_531.npy
40,779_orig_878.jpg,Neutral,1557,0.5972685525232727,0.6041181151760059,0.5625023694254463,0.47460641131432224,-0.2325406365529584,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\40_779_orig_878_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\779_orig_878.npy
41,5_orig_4.jpg,Positivo,1513,0.6563539632723142,0.5252410409444543,0.7754437005923784,0.7304697061840303,0.1748051144226786,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\41_5_orig_4_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\5_orig_4.npy
42,420_orig_519.jpg,Neutral,1556,0.6714577197967421,0.6173012973069493,0.5110983928172792,0.7820662181575518,0.37657926294950794,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\42_420_orig_519_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\420_orig_519.npy
43,850_orig_949.jpg,Neutral,1534,0.6525018190340083,0.6156386921892866,0.4493576284115715,0.7732812433452834,0.5739037889865917,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\43_850_orig_949_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\850_orig_949.npy
44,1120_orig_1356.jpg,Positivo,1582,0.6912774889297112,0.5971283762449142,0.6842077838177367,0.5580265194386582,-0.021277024408376748,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\44_1120_orig_1356_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1120_orig_1356.npy
45,264_orig_263.jpg,Negativo,1506,0.49895437304583024,0.520118835620191,0.7815768432002046,0.7521288919621576,0.40380627769796057,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\45_264_orig_263_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\264_orig_263.npy
46,87_orig_86.jpg,Negativo,1556,0.8132355728468847,0.6325421493157515,0.5617621027553149,0.7305052930577679,1.2911550527796578,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\46_87_orig_86_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\87_orig_86.npy
47,1155_orig_1391.jpg,Positivo,1610,0.4727603289041017,0.5802418359986876,0.596602661892358,0.6279215590361055,0.3367528761521448,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\47_1155_orig_1391_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1155_orig_1391.npy
