"metric","model","predictor","comparison","ratio","standard_error","df","z_or_t_ratio","p_value_bonferroni","approximate_percent_difference","significant_bonferroni_0_05"
"dwell_time_s","Combined","original_emotion","Neutral / Negative",1.00745999788148,0.00703819169555977,Inf,1.0638747924294,0.862156271104025,0.745999788148444,FALSE
"dwell_time_s","Combined","original_emotion","Neutral / Positive",1.00044673156371,0.00701399580192902,Inf,0.0637056744858906,1,0.0446731563713776,FALSE
"dwell_time_s","Combined","original_emotion","Negative / Positive",0.993038665224904,0.00697461939536917,Inf,-0.994613163789962,0.959773327973024,-0.696133477509631,FALSE
"dwell_time_s","Combined","response_emotion","Neutral / Negative",0.992880196849874,0.00927156340828879,Inf,-0.765178068880476,1,-0.711980315012639,FALSE
"dwell_time_s","Combined","response_emotion","Neutral / Positive",0.990053917019934,0.0064431103748939,Inf,-1.535974911989,0.373633600596323,-0.994608298006605,FALSE
"dwell_time_s","Combined","response_emotion","Negative / Positive",0.997153453318027,0.00857781012787769,Inf,-0.331377283471006,1,-0.284654668197293,FALSE
"mean_fixation_duration_ms","Original emotion","original_emotion","Neutral / Negative",0.997614840936232,0.00807353958453551,Inf,-0.295076562481759,1,-0.238515906376768,FALSE
"mean_fixation_duration_ms","Original emotion","original_emotion","Neutral / Positive",1.01206003708312,0.00819552939720346,Inf,1.48037645259876,0.416318431550248,1.2060037083123,FALSE
"mean_fixation_duration_ms","Original emotion","original_emotion","Negative / Positive",1.01447973261237,0.00821322206047834,Inf,1.77568090676128,0.227356578458847,1.4479732612372,FALSE
"mean_fixation_duration_ms","Reported emotion","response_emotion","Neutral / Negative",1.00303027066517,0.00558201723053327,Inf,0.543684689495561,1,0.303027066517259,FALSE
"mean_fixation_duration_ms","Reported emotion","response_emotion","Neutral / Positive",0.9956974777791,0.00387036972761944,Inf,-1.10926174272275,0.801951851853112,-0.430252222090033,FALSE
"mean_fixation_duration_ms","Reported emotion","response_emotion","Negative / Positive",0.99268936033086,0.00507400972969067,Inf,-1.43552180067259,0.453415381658086,-0.731063966913981,FALSE
"mean_fixation_duration_ms","Combined","original_emotion","Neutral / Negative",0.997548782920324,0.00803619213199623,Inf,-0.304648065799037,1,-0.245121707967622,FALSE
"mean_fixation_duration_ms","Combined","original_emotion","Neutral / Positive",1.01193230400214,0.00815899061979813,Inf,1.47116390064389,0.423740391684974,1.19323040021357,FALSE
"mean_fixation_duration_ms","Combined","original_emotion","Negative / Positive",1.0144188648496,0.00818269487522007,Inf,1.77476013116567,0.227812505783086,1.44188648496009,FALSE
"mean_fixation_duration_ms","Combined","response_emotion","Neutral / Negative",1.00267701814394,0.00557704563076556,Inf,0.48064841877103,1,0.267701814393906,FALSE
"mean_fixation_duration_ms","Combined","response_emotion","Neutral / Positive",0.995533241941223,0.00386704128404241,Inf,-1.15250055041361,0.74734633110536,-0.446675805877683,FALSE
"mean_fixation_duration_ms","Combined","response_emotion","Negative / Positive",0.992875296757135,0.00507110433995376,Inf,-1.39994399178217,0.484590273186387,-0.712470324286452,FALSE
"fixation_density_per_megapixel","Original emotion","original_emotion","Neutral / Negative",1.01132335571795,0.189755071696631,Inf,0.0600101182655668,1,1.13233557179535,FALSE
"fixation_density_per_megapixel","Original emotion","original_emotion","Neutral / Positive",0.80921696077762,0.151834280424642,Inf,-1.12821487128291,0.777687554749658,-19.078303922238,FALSE
"fixation_density_per_megapixel","Original emotion","original_emotion","Negative / Positive",0.800156504052203,0.150134107125088,Inf,-1.18822596662253,0.704233188143259,-19.9843495947797,FALSE
