"metric","model","term","estimate_log_scale","standard_error","z_value","p_value","ci_95_lower","ci_95_upper","rate_ratio","approximate_percent_change"
"dwell_time_s","Reported emotion","response_emotionNegative",0.00787895790326503,0.0093137658667045,0.845947602293857,0.397581975442314,-0.0103756877559143,0.0261336035624443,1.0079100785712,0.791007857120429
"dwell_time_s","Reported emotion","response_emotionPositive",0.0104489755418161,0.00650116114541628,1.6072475836387,0.108000067595034,-0.00229306616089097,0.0231910172445232,1.0105037567229,1.05037567229036
"dwell_time_s","Combined","(Intercept)",-0.0567684355472019,0.0243020631732728,-2.33595127880481,0.0194937809450614,-0.104399604116834,-0.00913726697757003,0.944812829102824,-5.51871708971756
"dwell_time_s","Combined","original_emotionNegative",-0.00743230971446748,0.0069860755864847,-1.0638747924294,0.287385423701342,-0.021124766257252,0.00626014682831707,0.992595241600489,-0.740475839951127
"dwell_time_s","Combined","original_emotionPositive",-0.00044663180887671,0.00701086382776826,-0.0637056744858906,0.949204586341227,-0.0141876724118171,0.0132944087940637,0.999553467916262,-0.0446532083737683
"dwell_time_s","Combined","response_emotionNegative",0.00714526989939552,0.00933804847523883,0.765178068880476,0.444165517126612,-0.0111569687979617,0.0254475085967528,1.00717085824928,0.717085824927866
"dwell_time_s","Combined","response_emotionPositive",0.00999587570018557,0.00650783787037345,1.535974911989,0.124544533532108,-0.00275925214297224,0.0227510035433434,1.01004600134304,1.00460013430417
"mean_fixation_duration_ms","Null","(Intercept)",0.00307198037247242,0.0122667200701729,0.250432092270703,0.802253214082799,-0.0209703491735011,0.0271143099184459,1.00307670373964,0.307670373963553
"mean_fixation_duration_ms","Original emotion","(Intercept)",0.00627865643222822,0.0131046278713001,0.479117491461076,0.631855046864508,-0.0194059422263198,0.0319632550907762,1.00629840851273,0.629840851272911
"mean_fixation_duration_ms","Original emotion","original_emotionNegative",0.00238800808679772,0.00809284230070067,0.295076562481759,0.767935393437649,-0.0134736713551379,0.0182496875287333,1.0023908616491,0.239086164910018
"mean_fixation_duration_ms","Original emotion","original_emotionPositive",-0.0119878942865565,0.00809786879919095,-1.48037645259876,0.138772810516749,-0.0278594254845014,0.00388363691138839,0.988083674247348,-1.19163257526516
"mean_fixation_duration_ms","Reported emotion","(Intercept)",0.0013700461340143,0.0124780691035833,0.109796325268055,0.912570905436907,-0.0230865199056109,0.0258266121736395,1.00137098507597,0.1370985075968
"mean_fixation_duration_ms","Reported emotion","response_emotionNegative",-0.00302568864918578,0.00556515330971166,-0.543684689495561,0.586658470010382,-0.0139331887046645,0.00788181140629296,0.996978884133613,-0.302111586638654
"mean_fixation_duration_ms","Reported emotion","response_emotionPositive",0.00431180470459424,0.00388709403608443,1.10926174272275,0.267317283951037,-0.00330675961065167,0.0119303690198401,1.00432111390952,0.432111390951517
